,Unnamed: 0,month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
1580,1580,May,1689916,7195745,2019-05-27 20:23:00,2019-05-27 21:08:00,0:44:41,"413 2nd St SW, Albuquerque, NM 87102, USA","220 Gold Ave SW, Albuquerque, NM 87102, USA",36391382,1562996
1581,1581,May,1689924,9520817,2019-05-27 20:23:00,2019-05-27 20:40:00,0:16:55,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","405 Central Ave NW, Albuquerque, NM 87102, USA",36149409,1562447
1582,1582,May,1689928,7965460,2019-05-27 20:23:00,2019-05-27 21:46:00,1:22:32,"300 Central Ave SW, Albuquerque, NM 87102, USA","423 Central Ave NE, Albuquerque, NM 87102, USA",36391584,1563753
1583,1583,May,1689943,2895097,2019-05-27 20:24:00,2019-05-27 21:08:00,0:43:51,"416 2nd St SW, Albuquerque, NM 87102, USA","225 Gold Ave SW, Albuquerque, NM 87102, USA",36394173,1563000
1584,1584,May,1689952,1941598,2019-05-27 20:25:00,2019-05-27 22:08:00,1:43:27,"Central @ Tingley, Albuquerque, NM 87104, USA","202 San Felipe St NW, Albuquerque, NM 87104, USA",36380037,1564197
1585,1585,May,1689956,5504748,2019-05-27 20:25:00,2019-05-27 20:29:00,0:04:19,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",35855849,1562231
1586,1586,May,1689972,2787234,2019-05-27 20:25:00,2019-05-27 20:29:00,0:04:08,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36389623,1562240
1587,1587,May,1689974,2204842,2019-05-27 20:25:00,2019-05-27 21:06:00,0:40:35,"412 Gold Ave SW, Albuquerque, NM 87102, USA","205 Silver Ave SW, Albuquerque, NM 87102, USA",36122028,1562957
1588,1588,May,1689980,8125312,2019-05-27 20:26:00,2019-05-27 20:30:00,0:04:08,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36389439,1562246
1589,1589,May,1689982,9655119,2019-05-27 20:26:00,2019-05-27 20:27:00,0:01:21,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ Tingley, Albuquerque, NM 87104, USA",36387916,1562187
1590,1590,May,1689983,9329814,2019-05-27 20:26:00,2019-05-27 21:00:00,0:34:04,"412 Gold Ave SW, Albuquerque, NM 87102, USA","205 Silver Ave SW, Albuquerque, NM 87102, USA",36392566,1562825
1591,1591,May,1689984,4942355,2019-05-27 20:26:00,2019-05-27 20:29:00,0:03:37,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36363869,1562234
1592,1592,May,1689986,6682067,2019-05-27 20:26:00,2019-05-27 21:00:00,0:34:02,"417 Gold Ave SW, Albuquerque, NM 87102, USA","205 Silver Ave SW, Albuquerque, NM 87102, USA",36399231,1562827
1593,1593,May,1689994,7264192,2019-05-27 20:26:00,2019-05-27 20:32:00,0:05:47,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",10802,1562301
1594,1594,May,1689995,6481616,2019-05-27 20:26:00,2019-05-27 22:41:00,2:15:00,"1400 Central Ave SE, Albuquerque, NM 87106, USA","1224 Central Ave NE, Albuquerque, NM 87106, USA",36401015,1564878
